pv_pr,v_wind,power_wt,power_solar,e_ro_hourly,datetime,month,tank_level,water_produced,water_consumed,plants_operating
495,1.4,2.401946672163831,445500.0,2400.0,2023-01-07 11:00:00,1,127658.06451612926,1600.0,943.5483870967741,2
401,1.1,0.7077164301911294,360900.0,2400.0,2023-01-07 12:00:00,1,128314.51612903249,1600.0,943.5483870967741,2
327,1.2,1.3725409555221888,294300.0,2400.0,2023-01-07 13:00:00,1,128970.96774193572,1600.0,943.5483870967741,2
312,1.6,2.745081911044379,280800.0,2400.0,2023-01-07 14:00:00,1,129627.41935483894,1600.0,943.5483870967741,2
147,1.2,1.3725409555221888,132300.0,2400.0,2023-01-07 15:00:00,1,130283.87096774219,1600.0,943.5483870967741,2
28,2.2,2.9686476111945375,25200.0,2400.0,2023-01-07 16:00:00,1,130940.3225806454,1600.0,943.5483870967741,2
1,3.2,1386.7528685997004,900.0,2400.0,2023-01-07 17:00:00,1,129996.77419354863,0.0,943.5483870967741,0
0,2.8,402.7372952223888,0.0,2400.0,2023-01-07 18:00:00,1,129053.22580645185,0.0,943.5483870967741,0
0,3.8,4178.99200767716,0.0,2400.0,2023-01-07 19:00:00,1,128909.67741935508,800.0,943.5483870967741,1
0,4.6,9760.704613063968,0.0,2400.0,2023-01-07 20:00:00,1,129566.12903225831,1600.0,943.5483870967741,2
0,5.0,13200.0,0.0,2400.0,2023-01-07 21:00:00,1,130222.58064516152,1600.0,943.5483870967741,2
0,5.3,16049.764742273072,0.0,2400.0,2023-01-07 22:00:00,1,130879.03225806473,1600.0,943.5483870967741,2
0,5.6,19197.6131057671,0.0,2400.0,2023-01-07 23:00:00,1,131535.48387096793,1600.0,943.5483870967741,2
0,5.6,19197.6131057671,0.0,2400.0,2023-01-08 00:00:00,1,132191.93548387114,1600.0,943.5483870967741,2
0,6.4,29618.603715120487,0.0,2400.0,2023-01-08 01:00:00,1,132848.38709677436,1600.0,943.5483870967741,2
0,7.3,44804.04094011273,0.0,2400.0,2023-01-08 02:00:00,1,133504.83870967757,1600.0,943.5483870967741,2
0,7.8,54684.21813698035,0.0,2400.0,2023-01-08 03:00:00,1,134161.29032258078,1600.0,943.5483870967741,2
0,7.9,56813.64373330922,0.0,2400.0,2023-01-08 04:00:00,1,134817.741935484,1600.0,943.5483870967741,2
0,7.5,48612.66557855038,0.0,2400.0,2023-01-08 05:00:00,1,135474.1935483872,1600.0,943.5483870967741,2
0,5.6,19197.6131057671,0.0,2400.0,2023-01-08 06:00:00,1,136130.64516129042,1600.0,943.5483870967741,2
0,5.8,21502.229296046964,0.0,2400.0,2023-01-08 07:00:00,1,136787.09677419363,1600.0,943.5483870967741,2
1,5.8,21502.229296046964,900.0,2400.0,2023-01-08 08:00:00,1,137443.54838709685,1600.0,943.5483870967741,2
49,4.8,11430.094674068967,44100.0,2400.0,2023-01-08 09:00:00,1,138100.00000000006,1600.0,943.5483870967741,2
110,5.6,19197.6131057671,99000.0,2400.0,2023-01-08 10:00:00,1,138756.45161290327,1600.0,943.5483870967741,2
205,5.6,19197.6131057671,184500.0,2400.0,2023-01-08 11:00:00,1,139412.90322580648,1600.0,943.5483870967741,2
251,4.4,8196.267215024493,225900.0,2400.0,2023-01-08 12:00:00,1,140069.3548387097,1600.0,943.5483870967741,2
220,4.3,7454.792451504154,198000.0,2400.0,2023-01-08 13:00:00,1,140725.8064516129,1600.0,943.5483870967741,2
163,4.9,12302.7602662962,146700.0,2400.0,2023-01-08 14:00:00,1,141382.25806451612,1600.0,943.5483870967741,2
169,5.0,13200.0,152100.0,2400.0,2023-01-08 15:00:00,1,142038.70967741933,1600.0,943.5483870967741,2
90,5.3,16049.764742273072,81000.0,2400.0,2023-01-08 16:00:00,1,142695.16129032255,1600.0,943.5483870967741,2
1,5.4,17061.882267463763,900.0,2400.0,2023-01-08 17:00:00,1,143351.61290322576,1600.0,943.5483870967741,2
0,4.5,8965.089493796075,0.0,2400.0,2023-01-08 18:00:00,1,144008.06451612897,1600.0,943.5483870967741,2
0,3.9,4773.705423606915,0.0,2400.0,2023-01-08 19:00:00,1,143864.51612903218,800.0,943.5483870967741,1
0,3.8,4178.99200767716,0.0,2400.0,2023-01-08 20:00:00,1,143720.9677419354,800.0,943.5483870967741,1
0,4.3,7454.792451504154,0.0,2400.0,2023-01-08 21:00:00,1,144377.4193548386,1600.0,943.5483870967741,2
0,4.6,9760.704613063968,0.0,2400.0,2023-01-08 22:00:00,1,145033.87096774182,1600.0,943.5483870967741,2
0,5.0,13200.0,0.0,2400.0,2023-01-08 23:00:00,1,145690.32258064504,1600.0,943.5483870967741,2
0,4.7,10582.55789807325,0.0,2400.0,2023-01-09 00:00:00,1,146346.77419354825,1600.0,943.5483870967741,2
0,5.0,13200.0,0.0,2400.0,2023-01-09 01:00:00,1,147003.22580645146,1600.0,943.5483870967741,2
0,5.6,19197.6131057671,0.0,2400.0,2023-01-09 02:00:00,1,147659.67741935467,1600.0,943.5483870967741,2
0,5.5,18110.153840224404,0.0,2400.0,2023-01-09 03:00:00,1,148316.1290322579,1600.0,943.5483870967741,2
